leading_item_id,following_item_id,value
BUZIIBYG,WPQXWHYO,11478268
BUZIIBYG,ZXERAXWP,166686
CCLHWFWF,DBWLZWNK,269021
CCLHWFWF,DUCMGGNW,878150
CCLHWFWF,FCYBOAXC,103258662
CCLHWFWF,FQCLOEXA,2028114
CCLHWFWF,FWUCPMMW,55898
CCLHWFWF,LRVGFDFM,2045481
CCLHWFWF,LSOIUSXD,264435
CCLHWFWF,LTOYKIML,474436
CCLHWFWF,OGAFEHLU,106253
CCLHWFWF,VBYCLTYZ,542704
CCLHWFWF,VUAFAIYJ,988140
CCLHWFWF,VWMBASNE,113709
CCLHWFWF,WHPUAOID,74278
DBWLZWNK,APQGTRMF,243712
DBWLZWNK,ATLDMDBO,43151969
DBWLZWNK,AXULOHBQ,250848
DBWLZWNK,BTMOEMEP,14597199
DBWLZWNK,ELQGMQWE,987961
DBWLZWNK,FRHNWLNI,967178
DBWLZWNK,FWUCPMMW,226212
DBWLZWNK,GYHKIVQT,19454064
DBWLZWNK,IGDVVKUD,229453
DBWLZWNK,JBVHSUWY,574701
DBWLZWNK,JPBRUTWP,5691465
DBWLZWNK,LRVGFDFM,2097358
DBWLZWNK,LSOIUSXD,444948
DBWLZWNK,QRKRBYJL,2348651
DBWLZWNK,QVLMOEYE,1126868
DBWLZWNK,RCBZUSIM,206924
DBWLZWNK,UXSPKBJR,683290
DBWLZWNK,VBYCLTYZ,715742
DBWLZWNK,WHPUAOID,245981
DDEXPPXU,JERHKLYW,339045
DDEXPPXU,NZKBIBNU,464168
DEWLVASR,APQGTRMF,375946
DEWLVASR,BEZYMBBT,3207210
DEWLVASR,DNMPSKTB,5003601
DEWLVASR,ELQGMQWE,875020
DEWLVASR,EVBVXETX,4905991
DEWLVASR,GYHKIVQT,19575065
DEWLVASR,JPBRUTWP,5794376
DEWLVASR,KJNSOAHR,14236992
DEWLVASR,OGAFEHLU,321719
DEWLVASR,OKMBFVKS,2203711
DEWLVASR,RAWUKQMJ,3985760
DEWLVASR,SDWAYPIK,5991436
DEWLVASR,UIFPPCLR,426912
DEWLVASR,VMAQSTJE,354794
DEWLVASR,WPQXWHYO,11554240
DEWLVASR,XUOIQPFL,2304115
DEWLVASR,ZCELVYQU,400995
DEWLVASR,ZGJXVMNI,2490872
DEWLVASR,ZKENOUDA,550254
DEWLVASR,ZXERAXWP,217243
DJBLNPNC,AXULOHBQ,261832
DJBLNPNC,BLANHGYY,242836
DJBLNPNC,BSRMSVTC,508885
DJBLNPNC,FDXPMYGF,171061
DJBLNPNC,MBSBZBXA,4651470
DJBLNPNC,ROACSLMG,2435017
DJBLNPNC,SUOYXCHP,201976
DJBLNPNC,UQYUIVVR,7355941
DJBLNPNC,UXSPKBJR,687291
DJBLNPNC,WBLJNPZQ,369109
DJBLNPNC,WHPUAOID,236764
DJBLNPNC,WQMVCOEM,203233
DNMPSKTB,AANGBULD,764129
DNMPSKTB,APQGTRMF,228962
DNMPSKTB,ATLDMDBO,43101398
DNMPSKTB,AXULOHBQ,234956
DNMPSKTB,DBWLZWNK,344344
DNMPSKTB,DEWLVASR,734264
DNMPSKTB,ELQGMQWE,972621
DNMPSKTB,EVBVXETX,5004278
DNMPSKTB,FQCLOEXA,2281466
DNMPSKTB,GYHKIVQT,19397701
DNMPSKTB,HXYSSRXE,4782978
DNMPSKTB,IGDVVKUD,205760
DNMPSKTB,JPBRUTWP,5644229
DNMPSKTB,KJNSOAHR,14341609
DNMPSKTB,LPHPPJUG,1456937
DNMPSKTB,LRVGFDFM,2057075
DNMPSKTB,OGAFEHLU,163470
DNMPSKTB,OKMBFVKS,2026708
DNMPSKTB,OXKURKXR,283464
DNMPSKTB,QJQJSWFU,307918
DNMPSKTB,QRKRBYJL,2296635
DNMPSKTB,QVLMOEYE,1091580
DNMPSKTB,RAWUKQMJ,3849968
DNMPSKTB,RCBZUSIM,198424
DNMPSKTB,RJGPVEXX,952040
DNMPSKTB,SDWAYPIK,5814895
DNMPSKTB,UGEQLMXM,355494
DNMPSKTB,UIFPPCLR,290257
DNMPSKTB,VBYCLTYZ,675210
DNMPSKTB,VWMBASNE,278456
DNMPSKTB,WBLJNPZQ,349410
DNMPSKTB,XIFHSOWQ,244584
DNMPSKTB,XIIEJNEE,228650
DNMPSKTB,XUOIQPFL,2159059
DNMPSKTB,ZGJXVMNI,2596406
DNMPSKTB,ZKENOUDA,686420
DUCMGGNW,BLANHGYY,252968
DUCMGGNW,OGAFEHLU,215735
DUCMGGNW,RJGPVEXX,956277
DUCMGGNW,UXSPKBJR,676336
ELQGMQWE,AANGBULD,654863
ELQGMQWE,DEWLVASR,630759
ELQGMQWE,FITUEHWN,285934
ELQGMQWE,FQCLOEXA,2163157
ELQGMQWE,FTSVTTSR,388709
ELQGMQWE,GYHKIVQT,19564432
ELQGMQWE,HXYSSRXE,4914596
ELQGMQWE,JSLXRQOK,229141
ELQGMQWE,KEUWZRKO,650402
ELQGMQWE,KJNSOAHR,14247331
ELQGMQWE,LLHREMKS,237607
ELQGMQWE,NAQIHUKZ,219206
ELQGMQWE,OKMBFVKS,2212723
ELQGMQWE,SDWAYPIK,5973508
ELQGMQWE,UIFPPCLR,426740
ELQGMQWE,WBLJNPZQ,479517
ELQGMQWE,XIIEJNEE,238744
ELQGMQWE,XUOIQPFL,2304910
ELQGMQWE,ZKENOUDA,564722
EVBVXETX,ATLDMDBO,43135177
EVBVXETX,BJALXPFS,350598
EVBVXETX,BLANHGYY,241051
EVBVXETX,DNMPSKTB,4878326
EVBVXETX,FDXPMYGF,192296
EVBVXETX,FQCLOEXA,2169887
EVBVXETX,FRHNWLNI,940115
EVBVXETX,IGDVVKUD,203509
EVBVXETX,KEUWZRKO,644321
EVBVXETX,KJNSOAHR,14226151
EVBVXETX,LUENUFGA,3614502
EVBVXETX,MIRCVAMV,357718
EVBVXETX,NZKBIBNU,441985
EVBVXETX,QRKRBYJL,2329613
EVBVXETX,RCBZUSIM,208771
EVBVXETX,SAHWCZNH,1951477
EVBVXETX,WPQXWHYO,11511541
EVBVXETX,XIFHSOWQ,360243
EVBVXETX,XIPPENFQ,426680
EVBVXETX,ZCELVYQU,389102
FCYBOAXC,FRHNWLNI,502550
FCYBOAXC,FWUCPMMW,0
FCYBOAXC,QKXNTIIB,1179881
FCYBOAXC,VUAFAIYJ,391167
FDXPMYGF,BSRMSVTC,518419
FDXPMYGF,DUCMGGNW,932948
FDXPMYGF,FITUEHWN,276967
FDXPMYGF,HCDTGMST,218664
FDXPMYGF,HXYSSRXE,4801177
FDXPMYGF,JERHKLYW,223195
FDXPMYGF,JPBRUTWP,5691423
FDXPMYGF,KEUWZRKO,544366
FDXPMYGF,LUENUFGA,3476033
FDXPMYGF,OGAFEHLU,181364
FDXPMYGF,PYZMVUWD,220820
FDXPMYGF,SUOYXCHP,199239
FDXPMYGF,TGOELCAG,433141
FDXPMYGF,VMAQSTJE,231093
FDXPMYGF,WBLJNPZQ,377422
FDXPMYGF,WPQXWHYO,11666870
FDXPMYGF,WQMVCOEM,215370
FDXPMYGF,XIFHSOWQ,256396
FITUEHWN,KJNSOAHR,14261484
FITUEHWN,RCBZUSIM,228948
FITUEHWN,SAAYMURU,243918
FITUEHWN,STZDBITS,21939466
FQCLOEXA,AXULOHBQ,369077
FQCLOEXA,BSRMSVTC,659295
FQCLOEXA,DEWLVASR,630460
FQCLOEXA,EVBVXETX,4876139
FQCLOEXA,FITUEHWN,268257
FQCLOEXA,FRHNWLNI,962478
FQCLOEXA,IGDVVKUD,223392
FQCLOEXA,KEUWZRKO,646659
FQCLOEXA,LUENUFGA,3622006
FQCLOEXA,NZKBIBNU,454497
FQCLOEXA,PYZMVUWD,331806
FQCLOEXA,QJQJSWFU,433687
FQCLOEXA,SAHWCZNH,1964078
FQCLOEXA,SNHYOVBM,412566
FQCLOEXA,WPQXWHYO,11543818
FQCLOEXA,XIFHSOWQ,370664
FQCLOEXA,XIPPENFQ,445465
FQCLOEXA,ZCELVYQU,400828
FQCLOEXA,ZKENOUDA,574979
FQCLOEXA,ZXERAXWP,232095
FRHNWLNI,ATLDMDBO,43133314
FRHNWLNI,BLANHGYY,261916
FRHNWLNI,DNMPSKTB,4886723
FRHNWLNI,DUCMGGNW,923061
FRHNWLNI,HXYSSRXE,4805088
FRHNWLNI,IGDVVKUD,223012
FRHNWLNI,LPHPPJUG,1469823
FRHNWLNI,LUENUFGA,3616355
FRHNWLNI,QRKRBYJL,2329370
FRHNWLNI,RCBZUSIM,223301
FRHNWLNI,VBYCLTYZ,710312
FTSVTTSR,DEWLVASR,635085
FTSVTTSR,GKQIJYDH,7784202
FTSVTTSR,KAGJCHMR,228927
FTSVTTSR,LLHREMKS,204234
FTSVTTSR,MBSBZBXA,4649101
FTSVTTSR,SAAYMURU,225753
FTSVTTSR,SNHYOVBM,419634
FTSVTTSR,STZDBITS,21939705
FTSVTTSR,TGOELCAG,438616
FTSVTTSR,XIIEJNEE,236219
FTSVTTSR,ZCELVYQU,387093
FWUCPMMW,AXULOHBQ,263394
FWUCPMMW,BLANHGYY,262304
FWUCPMMW,BSRMSVTC,532535
FWUCPMMW,FDXPMYGF,197229
FWUCPMMW,FTSVTTSR,375484
FWUCPMMW,JSLXRQOK,215005
FWUCPMMW,LLHREMKS,219377
FWUCPMMW,NAQIHUKZ,198900
FWUCPMMW,WBLJNPZQ,374851
FWUCPMMW,WHPUAOID,231836
FWUCPMMW,XIIEJNEE,230114
GKQIJYDH,FWUCPMMW,0
GKQIJYDH,XMKRPGLB,1118056
GKQIJYDH,YSYHGLQK,0
GKQIJYDH,ZXERAXWP,226740
GYHKIVQT,AANGBULD,767363
GYHKIVQT,APQGTRMF,184382
GYHKIVQT,ATLDMDBO,43129122
GYHKIVQT,AXULOHBQ,150359
GYHKIVQT,BEZYMBBT,3064094
GYHKIVQT,BSRMSVTC,468852
GYHKIVQT,DEWLVASR,651622
GYHKIVQT,DNMPSKTB,4769917
GYHKIVQT,ELQGMQWE,893808
GYHKIVQT,EVBVXETX,4935738
GYHKIVQT,FQCLOEXA,2251456
GYHKIVQT,HXYSSRXE,4730395
GYHKIVQT,KEUWZRKO,436444
GYHKIVQT,KJNSOAHR,14312015
GYHKIVQT,LPHPPJUG,1415644
GYHKIVQT,NZKBIBNU,490982
GYHKIVQT,OGAFEHLU,109181
GYHKIVQT,OKMBFVKS,2018068
GYHKIVQT,QRKRBYJL,2283657
GYHKIVQT,QVLMOEYE,1080779
GYHKIVQT,RCBZUSIM,156025
GYHKIVQT,RJGPVEXX,934310
GYHKIVQT,SAHWCZNH,1725942
GYHKIVQT,SDWAYPIK,5798271
GYHKIVQT,UIFPPCLR,228295
GYHKIVQT,VWMBASNE,252570
GYHKIVQT,WBLJNPZQ,340666
GYHKIVQT,WPQXWHYO,11571756
GYHKIVQT,XUOIQPFL,2161369
GYHKIVQT,ZGJXVMNI,2553382
GYHKIVQT,ZKENOUDA,633871
GYHKIVQT,ZXERAXWP,294859
HCDTGMST,AHMDUILJ,308725
HCDTGMST,ATLDMDBO,43261651
HCDTGMST,BEZYMBBT,3210324
HCDTGMST,FRHNWLNI,1077728
HCDTGMST,JERHKLYW,216618
HCDTGMST,KEUWZRKO,541132
HCDTGMST,LUENUFGA,3508723
HCDTGMST,MBSBZBXA,4647096
HCDTGMST,RCBZUSIM,329714
HCDTGMST,STZDBITS,21940698
HCDTGMST,XIFHSOWQ,254694
HXYSSRXE,ATLDMDBO,43134543
HXYSSRXE,AXULOHBQ,231168
HXYSSRXE,BLANHGYY,234708
HXYSSRXE,BSRMSVTC,501052
HXYSSRXE,DEWLVASR,715930
HXYSSRXE,DNMPSKTB,4851254
HXYSSRXE,EVBVXETX,5006929
HXYSSRXE,FDXPMYGF,195668
HXYSSRXE,FQCLOEXA,2290644
HXYSSRXE,GYHKIVQT,19419100
HXYSSRXE,JBVHSUWY,545496
HXYSSRXE,JPBRUTWP,5661795
HXYSSRXE,KEUWZRKO,511967
HXYSSRXE,LPHPPJUG,1449429
HXYSSRXE,OGAFEHLU,171835
HXYSSRXE,PYZMVUWD,181265
HXYSSRXE,RAWUKQMJ,3856565
HXYSSRXE,RJGPVEXX,950109
HXYSSRXE,SAHWCZNH,1810594
HXYSSRXE,SDWAYPIK,5837034
HXYSSRXE,SUOYXCHP,199930
HXYSSRXE,UGEQLMXM,362390
HXYSSRXE,XIFHSOWQ,223494
HXYSSRXE,ZGJXVMNI,2580301
HXYSSRXE,ZKENOUDA,667253
IGDVVKUD,ATLDMDBO,43144737
IGDVVKUD,BLANHGYY,269112
IGDVVKUD,BSRMSVTC,546844
IGDVVKUD,BTMOEMEP,14582583
IGDVVKUD,DJBLNPNC,174703
IGDVVKUD,DNMPSKTB,4893227
IGDVVKUD,FDXPMYGF,215661
IGDVVKUD,FWUCPMMW,235129
IGDVVKUD,HXYSSRXE,4784949
IGDVVKUD,LRVGFDFM,2099873
IGDVVKUD,QRKRBYJL,2353254
IGDVVKUD,QVLMOEYE,1139699
IGDVVKUD,ROACSLMG,2317091
IGDVVKUD,SDWAYPIK,5863327
IGDVVKUD,SNHYOVBM,413485
IGDVVKUD,SUOYXCHP,190374
IGDVVKUD,UGEQLMXM,400359
IGDVVKUD,UXSPKBJR,675786
IGDVVKUD,VBYCLTYZ,695800
IGDVVKUD,WHPUAOID,245433
IGDVVKUD,WQMVCOEM,211424
JBVHSUWY,APQGTRMF,248399
JBVHSUWY,BEZYMBBT,3104416
JBVHSUWY,ELQGMQWE,1005543
JBVHSUWY,FTSVTTSR,391471
JBVHSUWY,KEUWZRKO,546215
JBVHSUWY,KJNSOAHR,14369792
JBVHSUWY,LLHREMKS,260190
JBVHSUWY,LTOYKIML,745855
JBVHSUWY,NAQIHUKZ,207660
JBVHSUWY,SAAYMURU,247280
JBVHSUWY,SUOYXCHP,217761
JBVHSUWY,VMAQSTJE,243416
JBVHSUWY,ZKENOUDA,681947
JERHKLYW,BEZYMBBT,3208360
JERHKLYW,DBWLZWNK,472062
JERHKLYW,QKXNTIIB,1548288
JERHKLYW,TGOELCAG,432244
JERHKLYW,VUAFAIYJ,909137
JERHKLYW,XIPPENFQ,338637
JPBRUTWP,APQGTRMF,214590
JPBRUTWP,ATLDMDBO,43109452
JPBRUTWP,AXULOHBQ,244095
JPBRUTWP,BEZYMBBT,3079131
JPBRUTWP,BTMOEMEP,14578936
JPBRUTWP,DEWLVASR,719984
JPBRUTWP,DNMPSKTB,4863421
JPBRUTWP,ELQGMQWE,974238
JPBRUTWP,FDXPMYGF,201533
JPBRUTWP,FQCLOEXA,2283799
JPBRUTWP,GYHKIVQT,19404993
JPBRUTWP,HXYSSRXE,4782510
JPBRUTWP,JBVHSUWY,546556
JPBRUTWP,KJNSOAHR,14341512
JPBRUTWP,OGAFEHLU,194930
JPBRUTWP,OKMBFVKS,2048542
JPBRUTWP,OXKURKXR,286620
JPBRUTWP,QRKRBYJL,2312573
JPBRUTWP,QVLMOEYE,1100710
JPBRUTWP,RCBZUSIM,188604
JPBRUTWP,RJGPVEXX,936234
JPBRUTWP,SDWAYPIK,5834045
JPBRUTWP,UGEQLMXM,380054
JPBRUTWP,VBYCLTYZ,685057
JPBRUTWP,VWMBASNE,287029
JPBRUTWP,WBLJNPZQ,346512
JPBRUTWP,XUOIQPFL,2179557
JPBRUTWP,ZGJXVMNI,2587303
JPBRUTWP,ZKENOUDA,668552
JSLXRQOK,BUZIIBYG,14398629
JSLXRQOK,DJBLNPNC,213625
JSLXRQOK,FTSVTTSR,350382
JSLXRQOK,KJNSOAHR,14255245
JSLXRQOK,LLHREMKS,215351
JSLXRQOK,NAQIHUKZ,176722
JSLXRQOK,SAAYMURU,245716
JSLXRQOK,STZDBITS,21943943
JSLXRQOK,TGOELCAG,436427
JSLXRQOK,XIIEJNEE,232057
KAGJCHMR,AANGBULD,671867
KAGJCHMR,DDEXPPXU,230232
KAGJCHMR,FQCLOEXA,2188587
KAGJCHMR,FWUCPMMW,217394
KAGJCHMR,GKQIJYDH,7787758
KAGJCHMR,JERHKLYW,233457
KAGJCHMR,JSLXRQOK,227438
KAGJCHMR,LTOYKIML,619911
KAGJCHMR,RJGPVEXX,859546
KAGJCHMR,ZKENOUDA,576388
KEUWZRKO,EVBVXETX,5016712
KEUWZRKO,FRHNWLNI,1084738
KEUWZRKO,LUENUFGA,3491485
KEUWZRKO,NZKBIBNU,578805
KEUWZRKO,RJGPVEXX,960903
KEUWZRKO,SAHWCZNH,1827448
KEUWZRKO,UIFPPCLR,317936
KEUWZRKO,VWMBASNE,308025
KEUWZRKO,WPQXWHYO,11686529
KEUWZRKO,XIFHSOWQ,235706
KEUWZRKO,XIPPENFQ,324205
KJNSOAHR,BTMOEMEP,14565218
KJNSOAHR,EVBVXETX,4847610
KJNSOAHR,FCYBOAXC,103310488
KJNSOAHR,GKQIJYDH,7753451
KJNSOAHR,IGDVVKUD,187225
KJNSOAHR,LRVGFDFM,2049029
KJNSOAHR,QRKRBYJL,2296160
KJNSOAHR,QVLMOEYE,1093014
KJNSOAHR,RCBZUSIM,183127
KJNSOAHR,UGEQLMXM,361392
KJNSOAHR,VBYCLTYZ,680126
KJNSOAHR,ZCELVYQU,361121
LLHREMKS,AANGBULD,666386
LLHREMKS,BLANHGYY,254829
LLHREMKS,ELQGMQWE,866116
LLHREMKS,FWUCPMMW,202710
LLHREMKS,GKQIJYDH,7765302
LLHREMKS,KAGJCHMR,227356
LLHREMKS,KJNSOAHR,14256567
LLHREMKS,LSOIUSXD,430630
LLHREMKS,MBSBZBXA,4648181
LLHREMKS,QKXNTIIB,1548524
LLHREMKS,STZDBITS,21941912
LLHREMKS,UGEQLMXM,384531
LLHREMKS,VBYCLTYZ,714367
LLHREMKS,XIIEJNEE,244829
LLHREMKS,YSYHGLQK,213264
LLHREMKS,ZCELVYQU,381910
LLHREMKS,ZXERAXWP,218231
LPHPPJUG,AHMDUILJ,302586
LPHPPJUG,AXULOHBQ,372176
LPHPPJUG,DDEXPPXU,216712
LPHPPJUG,DJBLNPNC,217124
LPHPPJUG,EVBVXETX,4898026
LPHPPJUG,FQCLOEXA,2178147
LPHPPJUG,HXYSSRXE,4915779
LPHPPJUG,KEUWZRKO,653136
LPHPPJUG,LUENUFGA,3613360
LPHPPJUG,NZKBIBNU,455358
LPHPPJUG,OGAFEHLU,317393
LPHPPJUG,SAHWCZNH,1951927
LPHPPJUG,VMAQSTJE,341636
LPHPPJUG,ZKENOUDA,566085
LRVGFDFM,APQGTRMF,147939
LRVGFDFM,ATLDMDBO,43033740
LRVGFDFM,AXULOHBQ,165316
LRVGFDFM,BTMOEMEP,14538162
LRVGFDFM,DBWLZWNK,295405
