leading_item_id,following_item_id,value
DJBLNPNC,SUOYXCHP,340159
DJBLNPNC,UQYUIVVR,7181546
DJBLNPNC,WHPUAOID,437816
DJBLNPNC,WQMVCOEM,357177
DNMPSKTB,ATLDMDBO,41864847
DNMPSKTB,AXULOHBQ,353277
DNMPSKTB,DEWLVASR,723704
DNMPSKTB,EVBVXETX,4894932
DNMPSKTB,GYHKIVQT,18925483
DNMPSKTB,JPBRUTWP,5719076
DNMPSKTB,LRVGFDFM,2183706
DNMPSKTB,OGAFEHLU,370097
DNMPSKTB,OKMBFVKS,2147614
DNMPSKTB,QRKRBYJL,2395232
DNMPSKTB,QVLMOEYE,1246570
DNMPSKTB,RAWUKQMJ,3900435
DNMPSKTB,RJGPVEXX,954304
DNMPSKTB,SDWAYPIK,5831805
DNMPSKTB,UGEQLMXM,554714
DNMPSKTB,VBYCLTYZ,814996
DNMPSKTB,VWMBASNE,399021
DNMPSKTB,XUOIQPFL,2330087
DNMPSKTB,ZGJXVMNI,2616368
DNMPSKTB,ZKENOUDA,670504
ELQGMQWE,AANGBULD,850735
ELQGMQWE,FQCLOEXA,2264740
ELQGMQWE,LLHREMKS,362357
ELQGMQWE,OKMBFVKS,2210598
ELQGMQWE,XIIEJNEE,387776
ELQGMQWE,ZKENOUDA,758871
EVBVXETX,FRHNWLNI,1099885
EVBVXETX,KEUWZRKO,723578
EVBVXETX,KJNSOAHR,13947365
EVBVXETX,LUENUFGA,3561963
EVBVXETX,SAHWCZNH,1979506
EVBVXETX,WPQXWHYO,11403285
EVBVXETX,XIFHSOWQ,445533
FDXPMYGF,BSRMSVTC,707680
FDXPMYGF,HCDTGMST,390539
FDXPMYGF,HXYSSRXE,4903784
FDXPMYGF,LUENUFGA,3535188
FDXPMYGF,OGAFEHLU,338269
FDXPMYGF,SUOYXCHP,390946
FDXPMYGF,VMAQSTJE,379853
FQCLOEXA,EVBVXETX,4946541
FQCLOEXA,FITUEHWN,434854
FQCLOEXA,LUENUFGA,3541554
FQCLOEXA,SAHWCZNH,1975292
FQCLOEXA,WPQXWHYO,11401190
FRHNWLNI,ATLDMDBO,41883801
FRHNWLNI,QRKRBYJL,2410159
FTSVTTSR,LLHREMKS,428948
FTSVTTSR,SAAYMURU,417679
FTSVTTSR,XIIEJNEE,355506
FTSVTTSR,ZCELVYQU,520185
FWUCPMMW,BSRMSVTC,657788
FWUCPMMW,FDXPMYGF,375733
FWUCPMMW,FTSVTTSR,531706
FWUCPMMW,JSLXRQOK,418488
FWUCPMMW,LLHREMKS,362585
FWUCPMMW,NAQIHUKZ,373685
FWUCPMMW,WHPUAOID,437427
FWUCPMMW,XIIEJNEE,389512
GYHKIVQT,AANGBULD,821924
GYHKIVQT,AXULOHBQ,316283
GYHKIVQT,BEZYMBBT,3203877
GYHKIVQT,DEWLVASR,645781
GYHKIVQT,DNMPSKTB,4858107
GYHKIVQT,ELQGMQWE,898755
GYHKIVQT,EVBVXETX,4818119
GYHKIVQT,FQCLOEXA,2257449
GYHKIVQT,HXYSSRXE,4814342
GYHKIVQT,KJNSOAHR,13938555
GYHKIVQT,WPQXWHYO,11270275
GYHKIVQT,XUOIQPFL,2308101
GYHKIVQT,ZGJXVMNI,2581296
GYHKIVQT,ZKENOUDA,633477
HCDTGMST,JERHKLYW,403631
HCDTGMST,XIFHSOWQ,419235
HXYSSRXE,AXULOHBQ,416855
HXYSSRXE,BSRMSVTC,633311
HXYSSRXE,DNMPSKTB,4926811
HXYSSRXE,EVBVXETX,4890106
HXYSSRXE,FQCLOEXA,2291048
HXYSSRXE,KEUWZRKO,676529
HXYSSRXE,OGAFEHLU,315553
HXYSSRXE,PYZMVUWD,320676
HXYSSRXE,RJGPVEXX,932936
HXYSSRXE,SDWAYPIK,5831530
HXYSSRXE,UGEQLMXM,483577
HXYSSRXE,XIFHSOWQ,345023
HXYSSRXE,ZGJXVMNI,2544095
HXYSSRXE,ZKENOUDA,680438
IGDVVKUD,ATLDMDBO,41872975
IGDVVKUD,BTMOEMEP,14229003
IGDVVKUD,DJBLNPNC,339175
IGDVVKUD,HXYSSRXE,4834500
IGDVVKUD,QVLMOEYE,1300794
IGDVVKUD,SUOYXCHP,322228
IGDVVKUD,VBYCLTYZ,867052
JBVHSUWY,ELQGMQWE,1045626
JBVHSUWY,NAQIHUKZ,390747
JPBRUTWP,APQGTRMF,405853
JPBRUTWP,ATLDMDBO,41887322
JPBRUTWP,GYHKIVQT,18943406
JPBRUTWP,OKMBFVKS,2182916
JPBRUTWP,QRKRBYJL,2413543
JPBRUTWP,QVLMOEYE,1280872
JPBRUTWP,RCBZUSIM,363315
JPBRUTWP,SDWAYPIK,5880959
JPBRUTWP,VBYCLTYZ,849354
JPBRUTWP,ZGJXVMNI,2564908
JSLXRQOK,FTSVTTSR,546673
JSLXRQOK,LLHREMKS,379235
JSLXRQOK,NAQIHUKZ,388931
JSLXRQOK,XIIEJNEE,406609
KAGJCHMR,FWUCPMMW,369860
KAGJCHMR,LTOYKIML,758863
KEUWZRKO,LUENUFGA,3569134
KEUWZRKO,NZKBIBNU,605503
KEUWZRKO,SAHWCZNH,1985128
KEUWZRKO,WPQXWHYO,11450824
KEUWZRKO,XIFHSOWQ,433719
KEUWZRKO,XIPPENFQ,439167
LLHREMKS,BLANHGYY,368146
LLHREMKS,ELQGMQWE,1001322
LLHREMKS,FWUCPMMW,333591
LLHREMKS,GKQIJYDH,7629622
LLHREMKS,LSOIUSXD,538957
LLHREMKS,UGEQLMXM,523685
LLHREMKS,ZCELVYQU,554216
LLHREMKS,ZXERAXWP,366894
LPHPPJUG,DDEXPPXU,399899
LRVGFDFM,ATLDMDBO,41750509
LRVGFDFM,BTMOEMEP,14146881
LRVGFDFM,DBWLZWNK,467336
LRVGFDFM,IGDVVKUD,293231
LRVGFDFM,JPBRUTWP,5659318
LRVGFDFM,LPHPPJUG,1369383
LRVGFDFM,OGAFEHLU,280077
LRVGFDFM,QRKRBYJL,2369086
LRVGFDFM,QVLMOEYE,1219217
LRVGFDFM,SDWAYPIK,5774463
LRVGFDFM,UGEQLMXM,464101
LRVGFDFM,VBYCLTYZ,787166
LRVGFDFM,XIIEJNEE,313351
LSOIUSXD,AXULOHBQ,438807
LSOIUSXD,VUAFAIYJ,1048056
LSOIUSXD,VWMBASNE,467534
LSOIUSXD,WBLJNPZQ,489439
LTOYKIML,FTSVTTSR,531570
LTOYKIML,LLHREMKS,363354
LTOYKIML,XIIEJNEE,389387
LUENUFGA,DNMPSKTB,4896200
LUENUFGA,MIRCVAMV,389441
LUENUFGA,XIFHSOWQ,440411
LUENUFGA,XIPPENFQ,459056
MBSBZBXA,HCDTGMST,395685
MIRCVAMV,CCLHWFWF,15127862
MIRCVAMV,LTOYKIML,724911
NAQIHUKZ,FTSVTTSR,580074
NAQIHUKZ,GKQIJYDH,7579201
NAQIHUKZ,LLHREMKS,412298
NAQIHUKZ,SAAYMURU,401147
NAQIHUKZ,STZDBITS,21350132
NAQIHUKZ,ZCELVYQU,503338
NZKBIBNU,FTSVTTSR,497374
NZKBIBNU,LUENUFGA,3597488
NZKBIBNU,NAQIHUKZ,339014
NZKBIBNU,XIIEJNEE,354655
OGAFEHLU,APQGTRMF,356438
OGAFEHLU,ATLDMDBO,41837563
OGAFEHLU,BTMOEMEP,14162135
OGAFEHLU,DBWLZWNK,533570
OGAFEHLU,DNMPSKTB,4998491
OGAFEHLU,GYHKIVQT,18977751
OGAFEHLU,IGDVVKUD,336377
OGAFEHLU,JPBRUTWP,5704942
OGAFEHLU,LRVGFDFM,2205223
OGAFEHLU,OKMBFVKS,2201312
OGAFEHLU,QRKRBYJL,2396166
OGAFEHLU,QVLMOEYE,1264150
OGAFEHLU,RCBZUSIM,347408
OGAFEHLU,SDWAYPIK,5833756
OGAFEHLU,UGEQLMXM,573938
OGAFEHLU,UIFPPCLR,488024
OGAFEHLU,VBYCLTYZ,866183
OGAFEHLU,VWMBASNE,450239
OGAFEHLU,XIIEJNEE,424010
OGAFEHLU,XUOIQPFL,2266278
OKMBFVKS,FDXPMYGF,317447
OKMBFVKS,FQCLOEXA,2304723
OKMBFVKS,GYHKIVQT,19007403
OKMBFVKS,ZGJXVMNI,2629925
OXKURKXR,APQGTRMF,390157
OXKURKXR,ATLDMDBO,41871703
OXKURKXR,AXULOHBQ,388130
OXKURKXR,JSLXRQOK,400971
OXKURKXR,QVLMOEYE,1300292
PYZMVUWD,XIFHSOWQ,436849
QKXNTIIB,FTSVTTSR,508142
QKXNTIIB,NAQIHUKZ,349897
QRKRBYJL,APQGTRMF,436494
QRKRBYJL,ATLDMDBO,41896241
QRKRBYJL,AXULOHBQ,351162
QRKRBYJL,BTMOEMEP,14203922
QRKRBYJL,DNMPSKTB,4893237
QRKRBYJL,FDXPMYGF,307300
QRKRBYJL,GYHKIVQT,19003230
QRKRBYJL,HXYSSRXE,4832345
QRKRBYJL,JPBRUTWP,5730206
QRKRBYJL,LPHPPJUG,1472129
QRKRBYJL,QVLMOEYE,1289333
QRKRBYJL,RCBZUSIM,410098
QRKRBYJL,SDWAYPIK,5896042
QRKRBYJL,UGEQLMXM,542348
QRKRBYJL,VBYCLTYZ,857849
QRKRBYJL,ZGJXVMNI,2610986
QVLMOEYE,APQGTRMF,438081
QVLMOEYE,ATLDMDBO,41902538
QVLMOEYE,AXULOHBQ,382476
QVLMOEYE,BTMOEMEP,14191075
QVLMOEYE,DJBLNPNC,371558
QVLMOEYE,DNMPSKTB,4908103
QVLMOEYE,FDXPMYGF,320676
QVLMOEYE,GYHKIVQT,18991612
QVLMOEYE,HXYSSRXE,4814377
QVLMOEYE,JPBRUTWP,5753012
QVLMOEYE,LPHPPJUG,1503856
QVLMOEYE,QRKRBYJL,2460700
QVLMOEYE,RAWUKQMJ,3880877
QVLMOEYE,RCBZUSIM,411418
QVLMOEYE,SDWAYPIK,5898278
QVLMOEYE,VBYCLTYZ,880314
QVLMOEYE,WBLJNPZQ,469864
QVLMOEYE,ZGJXVMNI,2564339
QVLMOEYE,ZKENOUDA,700893
RAWUKQMJ,AXULOHBQ,393327
RAWUKQMJ,DNMPSKTB,4936507
RAWUKQMJ,HXYSSRXE,4891416
RAWUKQMJ,WPQXWHYO,11354294
RCBZUSIM,ATLDMDBO,41923537
RCBZUSIM,AXULOHBQ,404001
RCBZUSIM,BJALXPFS,504808
RCBZUSIM,DNMPSKTB,4913092
RCBZUSIM,FDXPMYGF,342342
RJGPVEXX,AANGBULD,817753
RJGPVEXX,GYHKIVQT,19038421
RJGPVEXX,KEUWZRKO,739464
RJGPVEXX,ZKENOUDA,709162
ROACSLMG,BTMOEMEP,14187850
ROACSLMG,IGDVVKUD,397254
SAHWCZNH,EVBVXETX,4952323
SAHWCZNH,LUENUFGA,3564480
SAHWCZNH,NZKBIBNU,601875
SAHWCZNH,WPQXWHYO,11448006
SAHWCZNH,WQMVCOEM,372572
SAHWCZNH,XIFHSOWQ,425148
SAHWCZNH,XIPPENFQ,435335
SDWAYPIK,APQGTRMF,422166
SDWAYPIK,ATLDMDBO,41903717
SDWAYPIK,BEZYMBBT,3193290
SDWAYPIK,BTMOEMEP,14197768
SDWAYPIK,DEWLVASR,807779
SDWAYPIK,DNMPSKTB,4900304
SDWAYPIK,DUCMGGNW,999626
SDWAYPIK,GYHKIVQT,18996416
SDWAYPIK,HXYSSRXE,4823454
SDWAYPIK,JPBRUTWP,5723599
SDWAYPIK,KJNSOAHR,13896843
SDWAYPIK,LPHPPJUG,1483869
SDWAYPIK,OGAFEHLU,388665
SDWAYPIK,OKMBFVKS,2185923
SDWAYPIK,OXKURKXR,443916
SDWAYPIK,QRKRBYJL,2432739
SDWAYPIK,QVLMOEYE,1283608
SDWAYPIK,RCBZUSIM,361761
SDWAYPIK,UGEQLMXM,572619
SDWAYPIK,UIFPPCLR,473534
SDWAYPIK,VBYCLTYZ,851672
SDWAYPIK,WQMVCOEM,311374
SDWAYPIK,XUOIQPFL,2253099
SDWAYPIK,ZGJXVMNI,2582569
SDWAYPIK,ZKENOUDA,720237
SNHYOVBM,DJBLNPNC,389066
STZDBITS,XIIEJNEE,335946
TGOELCAG,LUENUFGA,3554032
UGEQLMXM,APQGTRMF,407571
UGEQLMXM,ATLDMDBO,41872013
UGEQLMXM,BTMOEMEP,14159669
UGEQLMXM,DBWLZWNK,549451
UGEQLMXM,DJBLNPNC,339726
UGEQLMXM,GYHKIVQT,18961115
UGEQLMXM,HXYSSRXE,4834649
UGEQLMXM,IGDVVKUD,369120
UGEQLMXM,JPBRUTWP,5721746
UGEQLMXM,LSOIUSXD,624436
UGEQLMXM,OGAFEHLU,407069
UGEQLMXM,QRKRBYJL,2430858
UGEQLMXM,QVLMOEYE,1298199
UGEQLMXM,SDWAYPIK,5866333
UGEQLMXM,VBYCLTYZ,865781
UGEQLMXM,VWMBASNE,433714
UGEQLMXM,WHPUAOID,351934
UIFPPCLR,GYHKIVQT,19012723
UIFPPCLR,KJNSOAHR,13959980
UIFPPCLR,XUOIQPFL,2300707
UXSPKBJR,APQGTRMF,423026
UXSPKBJR,ATLDMDBO,41887668
UXSPKBJR,DBWLZWNK,515372
UXSPKBJR,HXYSSRXE,4815651
UXSPKBJR,QRKRBYJL,2412254
UXSPKBJR,QVLMOEYE,1281851
UXSPKBJR,RAWUKQMJ,3882690
UXSPKBJR,RCBZUSIM,327890
UXSPKBJR,SDWAYPIK,5901352
UXSPKBJR,WQMVCOEM,389588
VBYCLTYZ,APQGTRMF,440202
VBYCLTYZ,ATLDMDBO,41904769
VBYCLTYZ,AXULOHBQ,385880
VBYCLTYZ,BLANHGYY,384643
VBYCLTYZ,BTMOEMEP,14193208
VBYCLTYZ,DJBLNPNC,374611
VBYCLTYZ,DNMPSKTB,4911015
VBYCLTYZ,FDXPMYGF,323075
VBYCLTYZ,GYHKIVQT,18960399
VBYCLTYZ,HXYSSRXE,4817345
VBYCLTYZ,IGDVVKUD,404367
VBYCLTYZ,JPBRUTWP,5739033
VBYCLTYZ,LPHPPJUG,1472740
VBYCLTYZ,QRKRBYJL,2463735
VBYCLTYZ,QVLMOEYE,1298330
VBYCLTYZ,RAWUKQMJ,3883238
VBYCLTYZ,RCBZUSIM,380752
VBYCLTYZ,SDWAYPIK,5900748
VMAQSTJE,KEUWZRKO,731504
VMAQSTJE,XIFHSOWQ,419559
VUAFAIYJ,APQGTRMF,383280
VUAFAIYJ,LRVGFDFM,2136567
VUAFAIYJ,LSOIUSXD,603212
VWMBASNE,CCLHWFWF,15057953
VWMBASNE,MIRCVAMV,411759
VWMBASNE,WBLJNPZQ,505977
VWMBASNE,XIPPENFQ,509386
WBLJNPZQ,ATLDMDBO,41923751
WBLJNPZQ,BJALXPFS,469942
WBLJNPZQ,CCLHWFWF,15110236
WBLJNPZQ,DEWLVASR,740990
WBLJNPZQ,HXYSSRXE,4902825
WBLJNPZQ,JPBRUTWP,5686473
WBLJNPZQ,LPHPPJUG,1489924
WBLJNPZQ,LRVGFDFM,2204638
WBLJNPZQ,LSOIUSXD,556579
WBLJNPZQ,OGAFEHLU,339524
WBLJNPZQ,RJGPVEXX,1023744
WBLJNPZQ,SDWAYPIK,5833771
WBLJNPZQ,UGEQLMXM,506197
WBLJNPZQ,VUAFAIYJ,1040985
WBLJNPZQ,ZKENOUDA,772377
WPQXWHYO,LUENUFGA,3554974
WPQXWHYO,RJGPVEXX,953206
WPQXWHYO,XIFHSOWQ,425808
WPQXWHYO,XIPPENFQ,435927
WQMVCOEM,JPBRUTWP,5688262
WQMVCOEM,OGAFEHLU,357418
XIFHSOWQ,EVBVXETX,4997805
XIFHSOWQ,LUENUFGA,3603924
XIFHSOWQ,MIRCVAMV,395201
XIFHSOWQ,VWMBASNE,483410
XIFHSOWQ,WPQXWHYO,11452087
XIFHSOWQ,XIPPENFQ,473536
XIIEJNEE,ATLDMDBO,41872694
XIIEJNEE,BTMOEMEP,14159781
XIIEJNEE,DJBLNPNC,337828
XIIEJNEE,FRHNWLNI,1063862
XIIEJNEE,FWUCPMMW,353467
XIIEJNEE,IGDVVKUD,367032
XIIEJNEE,QRKRBYJL,2432209
XIIEJNEE,QVLMOEYE,1299392
XIIEJNEE,SDWAYPIK,5868491
XIIEJNEE,SNHYOVBM,574079
XIIEJNEE,VBYCLTYZ,865866
XIIEJNEE,WHPUAOID,352624
XIPPENFQ,DDEXPPXU,352776
XIPPENFQ,MIRCVAMV,429114
XUOIQPFL,APQGTRMF,341749
XUOIQPFL,ATLDMDBO,41893653
XUOIQPFL,DBWLZWNK,500887
XUOIQPFL,DNMPSKTB,4989753
XUOIQPFL,GYHKIVQT,18949947
XUOIQPFL,IGDVVKUD,322205
XUOIQPFL,JPBRUTWP,5675409
XUOIQPFL,LRVGFDFM,2195940
XUOIQPFL,OGAFEHLU,376983
XUOIQPFL,OKMBFVKS,2168997
XUOIQPFL,OXKURKXR,468652
XUOIQPFL,QRKRBYJL,2384912
XUOIQPFL,QVLMOEYE,1234797
XUOIQPFL,RAWUKQMJ,3906434
XUOIQPFL,SDWAYPIK,5820539
XUOIQPFL,UGEQLMXM,561187
XUOIQPFL,VBYCLTYZ,834453
XUOIQPFL,VWMBASNE,402724
XUOIQPFL,XIIEJNEE,411574
ZCELVYQU,BLANHGYY,398819
ZCELVYQU,FWUCPMMW,365891
ZGJXVMNI,AANGBULD,807277
ZGJXVMNI,DEWLVASR,769233
ZGJXVMNI,DNMPSKTB,5000831
ZGJXVMNI,EVBVXETX,4897550
ZGJXVMNI,GYHKIVQT,18951409
ZGJXVMNI,RJGPVEXX,1021895
ZGJXVMNI,SDWAYPIK,5851969
ZGJXVMNI,UGEQLMXM,523348
ZGJXVMNI,XUOIQPFL,2314908
ZGJXVMNI,ZKENOUDA,733410
ZKENOUDA,AANGBULD,852739
ZKENOUDA,APQGTRMF,399638
ZKENOUDA,DEWLVASR,744066
ZKENOUDA,FTSVTTSR,497970
ZKENOUDA,GYHKIVQT,19023570
ZKENOUDA,KJNSOAHR,13947696
ZKENOUDA,OKMBFVKS,2227365
ZKENOUDA,SDWAYPIK,5860482
ZKENOUDA,XIIEJNEE,355965
ZKENOUDA,XUOIQPFL,2326539
ZKENOUDA,ZCELVYQU,503097
ZXERAXWP,UIFPPCLR,515742
ZXERAXWP,WHPUAOID,352705
